SAT,JD,RA[deg],DEC[deg],"RMS_RA[""]","RMS_DEC[""]","OMC1_RA[""]","OMC1_DEC[""]","OMC2_RA[""]","OMC2_DEC[""]"
U2,2460728.194623,50.78818566,18.32034684,0.067,0.061,0.113,0.091,-0.003,0.043
U3,2460728.195299,50.78584558,18.31813619,0.050,0.053,0.123,0.040,0.008,0.003
U4,2460728.195299,50.80110030,18.32982853,0.078,0.058,0.107,0.007,-0.016,-0.026
U4,2460739.150406,51.06395057,18.38599729,0.076,0.067,0.023,0.020,-0.092,-0.009
U2,2460939.440875,58.91371907,20.14931364,0.034,0.033,0.111,0.097,-0.030,0.047
U3,2460939.440875,58.92470935,20.14622758,0.018,0.026,0.067,0.037,-0.076,0.009
U4,2460939.440875,58.91982671,20.14062811,0.017,0.026,0.070,0.046,-0.064,0.007
U3,2460940.447903,58.91384527,20.14932159,0.020,0.050,0.128,0.027,-0.017,0.002
U4,2460940.447903,58.91160226,20.14000125,0.037,0.042,0.098,0.066,-0.037,0.032
U1,2460943.447231,58.85605223,20.14014037,0.034,0.045,0.184,0.030,0.047,-0.043
U2,2460943.447255,58.85478514,20.13869587,0.042,0.045,0.141,-0.006,-0.002,-0.058
U3,2460943.447255,58.85532718,20.14805480,0.034,0.036,0.132,-0.016,-0.015,-0.051
U4,2460943.447219,58.87081962,20.14568582,0.037,0.041,0.134,-0.030,-0.014,-0.062
U2,2460944.297811,58.84616340,20.13247932,0.048,0.063,0.089,0.098,-0.047,0.059
U3,2460944.297529,58.83773135,20.14121425,0.040,0.037,0.148,0.055,0.003,0.021
U4,2460944.297691,58.85403452,20.14659947,0.058,0.055,0.069,0.010,-0.085,-0.025
U2,2460946.364613,58.80879170,20.13589700,0.028,0.036,0.068,0.032,-0.098,-0.008
U3,2460952.344182,58.67816347,20.11254594,0.021,0.039,0.091,0.055,-0.059,0.019
U4,2460952.344182,58.68217619,20.09404437,0.022,0.037,0.067,0.054,-0.070,0.013
U2,2460954.290165,58.63982475,20.10131993,0.033,0.043,0.090,0.030,-0.073,-0.004
U3,2460954.290161,58.62939836,20.09202659,0.023,0.038,0.076,0.051,-0.075,0.015
U4,2460954.290161,58.64560193,20.08826708,0.032,0.035,0.081,0.031,-0.058,-0.001
U1,2460955.412600,58.60863741,20.09481173,0.040,0.041,0.137,-0.036,-0.042,-0.081
U2,2460955.411992,58.60390028,20.09278162,0.038,0.044,0.170,0.055,0.019,0.004
U3,2460955.412600,58.60684166,20.08234938,0.033,0.035,0.108,0.042,-0.037,0.005
U4,2460955.412600,58.62057731,20.08803785,0.034,0.038,0.113,0.026,-0.030,-0.005
U1,2460960.385703,58.47391180,20.06798502,0.032,0.040,0.146,-0.007,-0.034,-0.047
U2,2460960.385703,58.47014083,20.05980568,0.053,0.053,0.097,0.045,-0.043,-0.002
U3,2460960.385703,58.47178916,20.07279004,0.026,0.039,0.103,0.044,-0.044,0.009
U4,2460960.385703,58.46810818,20.07457279,0.034,0.039,0.101,0.069,-0.052,0.028
U1,2460963.434746,58.37857787,20.04711227,0.041,0.061,0.176,0.007,0.022,-0.065
U2,2460963.434312,58.37835189,20.04959743,0.077,0.065,0.146,-0.032,-0.012,-0.081
U3,2460963.434890,58.37624246,20.03922883,0.044,0.073,0.127,0.025,-0.016,-0.011
U4,2460963.434520,58.37090804,20.04185747,0.048,0.079,0.138,-0.004,-0.003,-0.051
U2,2460964.379357,58.34852223,20.03662618,0.051,0.071,0.181,0.068,0.043,0.018
U3,2460964.379757,58.35235157,20.03118234,0.030,0.064,0.119,0.042,-0.019,0.008
U4,2460964.379695,58.34418554,20.03160888,0.037,0.070,0.125,0.067,-0.012,0.020
U2,2460988.501457,57.44147455,19.85997386,0.130,0.062,0.111,0.008,-0.046,-0.043
U3,2460988.501075,57.43741465,19.85679156,0.093,0.100,0.069,0.012,-0.078,-0.022
U4,2460988.501094,57.43605629,19.86362050,0.084,0.101,0.065,0.022,-0.087,-0.023
U1,2460989.208391,57.41502811,19.84813186,0.107,0.063,0.112,0.121,-0.006,0.064
U2,2460989.208894,57.41228388,19.84837409,0.090,0.104,0.091,0.070,-0.053,0.018
U3,2460989.209637,57.40923330,19.84647875,0.085,0.073,0.074,0.038,-0.071,0.000
U4,2460989.209689,57.40492084,19.85384114,0.090,0.084,0.070,0.042,-0.079,-0.005
U1,2460991.337703,57.32245113,19.83269123,0.040,0.029,0.093,0.076,-0.051,0.001
U3,2460991.337703,57.33116305,19.82574338,0.026,0.030,0.050,0.013,-0.085,-0.015
